BasalACh2_amici,BasalACh2_copasi,BasalACh2_tellurium,IntermediateACh_amici,IntermediateACh_copasi,IntermediateACh_tellurium,ActiveACh_amici,ActiveACh_copasi,ActiveACh_tellurium,Active_amici,Active_copasi,Active_tellurium,BasalACh_amici,BasalACh_copasi,BasalACh_tellurium,Basal_amici,Basal_copasi,Basal_tellurium,DesensitisedACh2_amici,DesensitisedACh2_copasi,DesensitisedACh2_tellurium,Desensitised_amici,Desensitised_copasi,Desensitised_tellurium,IntermediateACh2_amici,IntermediateACh2_copasi,IntermediateACh2_tellurium,DesensitisedACh_amici,DesensitisedACh_copasi,DesensitisedACh_tellurium,Intermediate_amici,Intermediate_copasi,Intermediate_tellurium,ActiveACh2_amici,ActiveACh2_copasi,ActiveACh2_tellurium
1.3932723099641865e-08,1.3932724206921046e-08,5.973107525444905e-07,1.468138165944154e-05,1.4681381566554517e-05,5.973107525444905e-07,5.973089577109295e-07,5.973090045146389e-07,5.973107525444905e-07,5.973089577109295e-07,5.973090045146389e-07,5.973107525444905e-07,1.4852554189538375e-07,1.4852555400070803e-07,5.973107525444905e-07,3.960748093990967e-07,3.960748418076766e-07,5.973107525444905e-07,6.795123170903155e-07,6.795123175125608e-07,5.973107525444905e-07,3.624065738875882e-09,3.6240657411279546e-09,5.973107525444905e-07,1.468138165944154e-05,1.4681381566554517e-05,5.973107525444905e-07,3.624065738875882e-09,3.6240657411279546e-09,5.973107525444905e-07,1.0440306479432369e-10,1.0440306408729428e-10,5.973107525444905e-07,5.973089577109295e-07,5.973090045146389e-07,5.973107525444905e-07
1.3866293813780999e-08,1.3866300058188453e-08,5.944633660949597e-07,1.4613745766047456e-05,1.4613745242009004e-05,5.944633660949597e-07,5.944623431134956e-07,5.944626069876821e-07,5.944633660949597e-07,5.944623431134956e-07,5.944626069876821e-07,5.944633660949597e-07,1.478168146011864e-07,1.4781688290866555e-07,5.944633660949597e-07,3.9418461603694267e-07,3.941847988655189e-07,5.944633660949597e-07,7.526641526898268e-07,7.526641550714627e-07,5.944633660949597e-07,4.014208861574904e-09,4.014208874277853e-09,5.944633660949597e-07,1.4613745766047456e-05,1.4613745242009004e-05,5.944633660949597e-07,4.014208861574904e-09,4.014208874277853e-09,5.944633660949597e-07,1.0392206053103646e-10,1.0392205687672335e-10,5.944633660949597e-07,5.944623431134956e-07,5.944626069876821e-07,5.944633660949597e-07
1.3801560276725194e-08,1.380156535476884e-08,5.916898929684839e-07,1.454631484541163e-05,1.4546314419236735e-05,5.916898929684839e-07,5.916875756087902e-07,5.916877901837427e-07,5.916898929684839e-07,5.916875756087902e-07,5.916877901837427e-07,5.916898929684839e-07,1.4712655141800486e-07,1.4712660697257042e-07,5.916898929684839e-07,3.923438097391903e-07,3.9234395843049347e-07,5.916898929684839e-07,8.254695119423266e-07,8.254695138791478e-07,5.916898929684839e-07,4.40250411061032e-09,4.402504120941207e-09,5.916898929684839e-07,1.454631484541163e-05,1.4546314419236735e-05,5.916898929684839e-07,4.40250411061032e-09,4.402504120941207e-09,5.916898929684839e-07,1.0344253269703405e-10,1.034425297451671e-10,5.916898929684839e-07,5.916875756087902e-07,5.916877901837427e-07,5.916898929684839e-07
1.3737593373730562e-08,1.3737603724011187e-08,5.889472397853742e-07,1.447916522272999e-05,1.4479164354141204e-05,5.889472397853742e-07,5.889453910900084e-07,5.889458284985716e-07,5.889472397853742e-07,5.889453910900084e-07,5.889458284985716e-07,5.889472397853742e-07,1.4644458954796216e-07,1.464447027565196e-07,5.889472397853742e-07,3.9052519011274174e-07,3.905254931128069e-07,5.889472397853742e-07,8.979296870956177e-07,8.979296910430584e-07,5.889472397853742e-07,4.788958377846263e-09,4.788958398900116e-09,5.889472397853742e-07,1.447916522272999e-05,1.4479164354141204e-05,5.889472397853742e-07,4.788958377846263e-09,4.788958398900116e-09,5.889472397853742e-07,1.0296501150752086e-10,1.0296500546011761e-10,5.889472397853742e-07,5.889453910900084e-07,5.889458284985716e-07,5.889472397853742e-07
1.367408311526167e-08,1.3674084755375706e-08,5.862232333359788e-07,1.4412321273189667e-05,1.44123211354718e-05,5.862232333359788e-07,5.862226889070434e-07,5.862227581474203e-07,5.862232333359788e-07,5.862226889070434e-07,5.862227581474203e-07,5.862232333359788e-07,1.4576753854525258e-07,1.4576755651838272e-07,5.862232333359788e-07,3.887196828410835e-07,3.887197309471344e-07,5.862232333359788e-07,9.700461987212042e-07,9.700461993469415e-07,5.862232333359788e-07,5.173579772956129e-09,5.173579776295749e-09,5.862232333359788e-07,1.4412321273189667e-05,1.44123211354718e-05,5.862232333359788e-07,5.173579772956129e-09,5.173579776295749e-09,5.862232333359788e-07,1.0248966612554317e-10,1.0248966521256613e-10,5.862232333359788e-07,5.862226889070434e-07,5.862227581474203e-07,5.862232333359788e-07
1.3610924683135168e-08,1.3610927001649271e-08,5.835155162631854e-07,1.4345790161498161e-05,1.4345789967070419e-05,5.835155162631854e-07,5.835150386972213e-07,5.835151368039813e-07,5.835155162631854e-07,5.835150386972213e-07,5.835151368039813e-07,5.835155162631854e-07,1.45094252246529e-07,1.450942775465285e-07,5.835155162631854e-07,3.869242203882243e-07,3.869242881002625e-07,5.835155162631854e-07,1.0418206378693914e-06,1.0418206387528463e-06,5.835155162631854e-07,5.556376781527708e-09,5.556376786235816e-09,5.835155162631854e-07,1.4345790161498161e-05,1.4345789967070419e-05,5.835155162631854e-07,5.556376781527708e-09,5.556376786235816e-09,5.835155162631854e-07,1.020165461022225e-10,1.0201654467005731e-10,5.835155162631854e-07,5.835150386972213e-07,5.835151368039813e-07,5.835155162631854e-07
1.3548082910086182e-08,1.3548082766760935e-08,5.80821360985568e-07,1.4279573214904557e-05,1.4279573226482735e-05,5.80821360985568e-07,5.80820953462232e-07,5.8082094704549e-07,5.80821360985568e-07,5.80820953462232e-07,5.8082094704549e-07,5.80821360985568e-07,1.4442434636907198e-07,1.444243449728768e-07,5.80821360985568e-07,3.8513777437712474e-07,3.851377706059935e-07,5.80821360985568e-07,1.1132546144182317e-06,1.1132546143648386e-06,5.80821360985568e-07,5.937357989572756e-09,5.937357989304214e-09,5.80821360985568e-07,1.4279573214904557e-05,1.4279573226482735e-05,5.80821360985568e-07,5.937357989572756e-09,5.937357989304214e-09,5.80821360985568e-07,1.0154566041941451e-10,1.0154566087341116e-10,5.80821360985568e-07,5.80820953462232e-07,5.8082094704549e-07,5.80821360985568e-07
1.34855447978237e-08,1.3485541098818186e-08,5.781401589606731e-07,1.4213669907911415e-05,1.4213670216982721e-05,5.781401589606731e-07,5.781398830408596e-07,5.78139725584056e-07,5.781401589606731e-07,5.781398830408596e-07,5.78139725584056e-07,5.781401589606731e-07,1.4375767912549122e-07,1.4375763920623643e-07,5.781401589606731e-07,3.8335996546438374e-07,3.8335985857514016e-07,5.781401589606731e-07,1.184349739000874e-06,1.1843497375953987e-06,5.781401589606731e-07,6.3165319871331825e-09,6.316531979680742e-09,5.781401589606731e-07,1.4213669907911415e-05,1.4213670216982721e-05,5.781401589606731e-07,6.3165319871331825e-09,6.316531979680742e-09,5.781401589606731e-07,1.0107700518350989e-10,1.0107700828582041e-10,5.781401589606731e-07,5.781398830408596e-07,5.78139725584056e-07,5.781401589606731e-07
1.3423304994318942e-08,1.3423300880075635e-08,5.754717580431293e-07,1.4148079081000936e-05,1.4148079429494077e-05,5.754717580431293e-07,5.754716003974355e-07,5.754714294002966e-07,5.754717580431293e-07,5.754716003974355e-07,5.754714294002966e-07,5.754717580431293e-07,1.430941923658137e-07,1.430941460029432e-07,5.754717580431293e-07,3.815906381599267e-07,3.8159051403711807e-07,5.754717580431293e-07,1.2551076175059837e-06,1.2551076159229077e-06,5.754717580431293e-07,6.693907338948003e-09,6.693907330412358e-09,5.754717580431293e-07,1.4148079081000936e-05,1.4148079429494077e-05,5.754717580431293e-07,6.693907338948003e-09,6.693907330412358e-09,5.754717580431293e-07,1.0061057209559307e-10,1.0061057268340064e-10,5.754717580431293e-07,5.754716003974355e-07,5.754714294002966e-07,5.754717580431293e-07
1.3361360991486716e-08,1.3361359255976192e-08,5.728160471706585e-07,1.408279934362024e-05,1.4082799484920391e-05,5.728160471706585e-07,5.728159986818779e-07,5.728159214506558e-07,5.728160471706585e-07,5.728159986818779e-07,5.728159214506558e-07,5.728160471706585e-07,1.424338590469186e-07,1.424338419071485e-07,5.728160471706585e-07,3.798297202299047e-07,3.79829674430573e-07,5.728160471706585e-07,1.3255298492778948e-06,1.3255298486275575e-06,5.728160471706585e-07,7.069492574853513e-09,7.069492571506502e-09,5.728160471706585e-07,1.408279934362024e-05,1.4082799484920391e-05,5.728160471706585e-07,7.069492574853513e-09,7.069492571506502e-09,5.728160471706585e-07,1.0014635125219126e-10,1.0014635465975045e-10,5.728160471706585e-07,5.728159986818779e-07,5.728159214506558e-07,5.728160471706585e-07
1.3299711255974376e-08,1.3299712134763679e-08,5.70172934644411e-07,1.4017829231014361e-05,1.4017829179210775e-05,5.70172934644411e-07,5.701730122391644e-07,5.701730682882009e-07,5.70172934644411e-07,5.701730122391644e-07,5.701730682882009e-07,5.70172934644411e-07,1.4177666278602064e-07,1.4177666341350185e-07,5.70172934644411e-07,3.7807716797196846e-07,3.780771701576958e-07,5.70172934644411e-07,1.3956180264374095e-06,1.3956180266801164e-06,5.70172934644411e-07,7.443296186160633e-09,7.4432961867606775e-09,5.70172934644411e-07,1.4017829231014361e-05,1.4017829179210775e-05,5.70172934644411e-07,7.443296186160633e-09,7.4432961867606775e-09,5.70172934644411e-07,9.968433223526076e-11,9.968431753789515e-11,5.70172934644411e-07,5.701730122391644e-07,5.701730682882009e-07,5.70172934644411e-07
